date,predicted_yield_kg
2008-01-01,-1.0974929
2008-01-02,-1.2107095
2008-01-03,1.1014392
2008-01-04,1.0149473
2008-01-05,0.12383347
2008-01-06,1.0095363
2008-01-07,1.096957
2008-01-08,0.7953178
2008-01-09,-0.29055536
2008-01-10,-0.76747674
2008-01-11,-0.3283522
2008-01-12,-0.42380506
2008-01-13,-0.23098072
2008-01-14,0.9739856
2008-01-15,0.008758635
2008-01-16,-1.1375037
2008-01-17,-0.8792309
2008-01-18,-0.8920426
2008-01-19,-0.88602865
2008-01-20,-1.194493
2008-01-21,-0.89622885
2008-01-22,-0.8807145
2008-01-23,0.65005827
2008-01-24,-0.21580063
2008-01-25,2.030558
2008-01-26,2.3538036
2008-01-27,-0.22434781
2008-01-28,0.5380617
2008-01-29,3.894451
2008-01-30,0.7953178
2008-01-31,1.1912835
2008-02-01,0.38020846
2008-02-02,3.3415194
2008-02-03,2.3757393
2008-02-04,1.6764795
2008-02-05,3.9333255
2008-02-06,2.5333924
2008-02-07,4.395358
2008-02-08,0.99583465
2008-02-09,5.5031996
2008-02-10,3.4891937
2008-02-11,3.3576756
2008-02-12,5.207225
2008-02-13,7.5385575
2008-02-14,5.398977
2008-02-15,3.570491
2008-02-16,0.7853127
2008-02-17,1.4966815
2008-02-18,3.2858984
2008-02-19,0.510402
2008-02-20,4.159574
2008-02-21,1.8295093
2008-02-22,1.2018353
2008-02-23,0.7582528
2008-02-24,1.7062111
2008-02-25,4.606819
2008-02-26,-0.2863714
2008-02-27,1.4181122
2008-02-28,1.2792258
2008-02-29,0.852378
2008-03-01,1.2180355
2008-03-02,4.163225
2008-03-03,0.48496768
2008-03-04,3.3999171
2008-03-05,8.400025
2008-03-06,23.607498
2008-03-07,10.503066
2008-03-08,0.9906084
2008-03-09,1.3422966
2008-03-10,4.52417
2008-03-11,0.91303873
2008-03-12,1.0789305
2008-03-13,5.1094165
2008-03-14,6.3079467
2008-03-15,3.6315746
2008-03-16,3.959626
2008-03-17,0.33830217
2008-03-18,0.38280118
2008-03-19,0.56840086
2008-03-20,6.158736
2008-03-21,26.54232
2008-03-22,26.696054
2008-03-23,22.242018
2008-03-24,26.81271
2008-03-25,5.8430004
2008-03-26,25.392735
2008-03-27,4.082046
2008-03-28,24.636568
2008-03-29,5.482814
2008-03-30,-0.28691593
2008-03-31,-0.6432037
2008-04-01,1.4430349
2008-04-02,0.672675
2008-04-03,7.1943355
2008-04-04,1.6195775
2008-04-05,6.9159427
