date,ndvi_mean
2008-01-01,0.6805
2008-01-17,0.649
2008-02-02,0.6585
2008-02-18,0.4515
2008-03-05,0.4682
2008-03-21,0.4963
2008-04-06,0.6019
2008-04-22,0.6236
2008-05-08,0.6562
2008-05-24,0.4836
2008-06-09,0.3993
2008-06-25,0.3913
2008-07-11,0.3601
2008-07-27,0.3314
2008-08-12,0.305
2008-08-28,0.2924
2008-09-13,0.2543
2008-09-29,0.274
2008-10-15,0.3054
2008-10-31,0.2977
2008-11-16,0.5338
2008-12-02,0.6021
2008-12-18,0.625
2009-01-01,0.5249
2009-01-17,0.567
2009-02-02,0.5244
2009-02-18,0.3832
2009-03-06,0.4083
2009-03-22,0.3886
2009-04-07,0.363
2009-04-23,0.417
2009-05-09,0.4258
2009-05-25,0.3664
2009-06-10,0.3245
2009-06-26,0.3085
2009-07-12,0.3027
2009-07-28,0.294
2009-08-13,0.364
2009-08-29,0.2486
2009-09-14,0.2519
2009-09-30,0.2597
2009-10-16,0.3285
2009-11-01,0.5479
2009-11-17,0.6195
2009-12-03,0.7021
2009-12-19,0.7178
2010-01-01,0.706
2010-01-17,0.6365
2010-02-02,0.5757
2010-02-18,0.6433
2010-03-06,0.6643
2010-03-22,0.6671
2010-04-07,0.7227
2010-04-23,0.729
2010-05-09,0.6275
2010-05-25,0.6377
2010-06-10,0.5177
2010-06-26,0.4622
2010-07-12,0.4452
2010-07-28,0.3873
2010-08-13,0.3708
2010-08-29,0.312
2010-09-14,0.3463
2010-09-30,0.3191
2010-10-16,0.3262
2010-11-01,0.4994
2010-11-17,0.7342
2010-12-03,0.699
2010-12-19,0.658
2011-01-01,0.6491
2011-01-17,0.5889
2011-02-02,0.4927
2011-02-18,0.5793
2011-03-06,0.495
2011-03-22,0.6866
2011-04-07,0.7163
2011-04-23,0.741
2011-05-09,0.6256
2011-05-25,0.6037
2011-06-10,0.4252
2011-06-26,0.4034
2011-07-12,0.3737
2011-07-28,0.3394
2011-08-13,0.3177
2011-08-29,0.3167
2011-09-14,0.3136
