date,temp_max,temp_min,temp_mean,humidity_mean,rainfall_mm,wind_speed_max,cloud_cover_percent
2008-01-01,24.9,16.4,20.3,74,1.2,15.1,53
2008-01-02,25.8,14.1,20.2,71,0.8,14.3,19
2008-01-03,27.2,15.2,21.3,65,0.0,12.8,11
2008-01-04,27.6,15.4,22.2,63,0.1,12.2,26
2008-01-05,27.3,15.2,21.0,75,2.9,13.1,58
2008-01-06,27.8,17.4,22.0,67,0.0,13.5,24
2008-01-07,28.7,16.4,22.1,59,0.0,13.6,55
2008-01-08,28.1,14.9,21.8,61,0.0,13.6,36
2008-01-09,25.4,17.3,21.1,70,2.3,14.7,43
2008-01-10,24.7,16.7,20.3,76,1.7,13.5,82
2008-01-11,26.0,16.6,20.8,73,0.6,15.5,52
2008-01-12,25.4,16.9,20.7,73,2.5,15.2,57
2008-01-13,26.9,17.3,21.2,69,0.8,14.3,62
2008-01-14,26.8,17.6,21.6,67,1.1,13.0,74
2008-01-15,26.0,18.0,21.3,73,1.1,12.9,64
2008-01-16,20.6,17.3,18.6,91,9.9,8.2,82
2008-01-17,24.4,16.7,20.1,80,2.1,15.6,69
2008-01-18,23.7,16.5,19.3,82,6.3,15.0,74
2008-01-19,22.4,15.9,19.2,81,4.3,12.6,82
2008-01-20,21.2,16.2,18.4,90,6.0,6.8,96
2008-01-21,24.1,17.2,20.0,82,2.0,11.9,72
2008-01-22,25.2,17.3,20.4,79,1.5,13.1,80
2008-01-23,28.2,15.5,21.6,68,0.0,14.4,46
2008-01-24,26.9,14.8,21.2,70,0.0,13.8,62
2008-01-25,27.7,14.5,21.2,69,0.0,16.3,67
2008-01-26,27.8,14.7,21.4,67,0.0,13.5,71
2008-01-27,26.3,16.3,21.5,69,0.0,11.1,98
2008-01-28,28.3,15.9,22.4,64,0.0,16.0,67
2008-01-29,26.2,16.6,21.1,68,0.6,15.5,72
2008-01-30,28.9,13.2,21.6,61,0.0,14.5,51
2008-01-31,29.8,14.6,22.4,59,0.0,15.8,65
2008-02-01,27.2,17.2,21.8,64,0.0,13.5,94
2008-02-02,27.8,15.7,21.5,61,0.2,16.1,85
2008-02-03,26.7,15.3,20.8,61,0.3,16.0,66
2008-02-04,28.0,15.2,21.3,61,0.0,12.3,49
2008-02-05,28.4,17.2,22.2,59,0.0,14.3,76
2008-02-06,28.9,15.6,22.3,60,0.0,14.4,66
2008-02-07,27.1,17.3,21.6,68,2.4,14.0,95
2008-02-08,25.8,17.2,21.2,72,0.5,13.0,84
2008-02-09,28.4,15.0,22.0,63,0.0,14.1,26
2008-02-10,27.1,17.0,21.7,61,0.0,14.8,94
2008-02-11,28.3,15.3,21.7,57,0.0,12.7,89
2008-02-12,27.4,16.0,22.0,58,0.1,13.2,88
2008-02-13,27.5,16.9,21.8,67,1.9,9.2,56
2008-02-14,29.1,16.4,22.5,67,0.8,8.4,57
2008-02-15,26.9,19.0,22.9,62,0.0,13.1,74
2008-02-16,28.3,17.5,22.6,58,0.1,14.3,72
2008-02-17,27.2,17.0,21.7,65,0.3,14.0,91
2008-02-18,26.2,16.5,21.2,69,2.5,15.0,97
2008-02-19,28.0,16.0,22.2,62,0.1,15.1,79
2008-02-20,27.7,16.7,22.0,65,0.9,13.8,85
2008-02-21,26.8,17.2,22.1,64,0.5,17.3,64
2008-02-22,26.1,17.3,21.7,58,0.9,16.0,69
2008-02-23,28.5,15.8,21.9,52,0.0,15.5,19
2008-02-24,26.8,15.6,21.3,61,0.4,13.5,44
2008-02-25,27.0,16.1,21.3,67,0.9,13.2,42
2008-02-26,28.0,17.7,21.8,69,0.4,15.5,65
2008-02-27,28.9,17.5,22.6,61,0.0,13.0,33
2008-02-28,28.8,16.3,22.3,57,0.0,12.3,21
2008-02-29,29.2,17.4,23.0,51,0.0,13.1,14
2008-03-01,28.7,16.5,22.6,54,0.0,13.8,18
2008-03-02,28.2,17.4,22.6,60,0.4,12.6,48
2008-03-03,28.1,17.6,22.6,62,0.7,12.8,42
2008-03-04,28.4,18.0,22.6,69,1.5,13.6,53
2008-03-05,28.8,17.3,22.5,67,2.8,14.8,58
2008-03-06,27.4,17.6,21.5,75,5.3,15.2,75
2008-03-07,25.2,17.6,20.8,78,4.2,15.2,90
2008-03-08,25.4,17.1,20.4,75,2.5,15.5,69
2008-03-09,26.4,17.7,21.3,70,1.7,16.5,60
2008-03-10,27.2,17.1,21.5,67,0.7,15.0,52
2008-03-11,26.9,16.8,21.6,63,0.1,11.6,44
2008-03-12,29.0,17.8,22.9,61,0.0,11.4,43
2008-03-13,27.6,18.3,22.4,68,0.9,13.5,72
2008-03-14,27.7,17.6,22.0,69,3.0,14.4,66
2008-03-15,27.8,17.8,22.2,69,2.4,12.0,76
2008-03-16,27.0,18.4,22.2,72,0.9,13.0,61
2008-03-17,27.3,18.1,22.1,71,0.5,12.8,56
2008-03-18,29.2,18.3,23.1,62,0.2,12.5,34
2008-03-19,29.0,18.4,23.4,63,0.5,13.3,43
2008-03-20,29.5,18.2,23.1,67,2.4,13.0,78
2008-03-21,27.5,19.0,22.3,73,8.3,11.2,81
2008-03-22,27.4,18.2,21.6,79,22.6,13.3,89
2008-03-23,26.3,18.1,21.2,78,5.3,8.7,97
2008-03-24,26.9,17.8,21.2,78,14.2,6.6,97
2008-03-25,26.6,16.7,21.0,80,4.7,9.2,81
2008-03-26,25.4,18.5,20.9,84,11.2,13.8,90
2008-03-27,24.7,17.7,20.2,84,4.9,10.5,98
2008-03-28,24.2,17.8,20.0,86,18.0,8.4,97
2008-03-29,26.1,17.8,20.6,81,6.2,13.0,83
2008-03-30,25.4,18.2,20.7,81,5.1,16.5,73
2008-03-31,25.2,17.4,20.9,76,1.0,12.9,70
2008-04-01,24.6,17.4,20.6,77,3.2,14.5,59
2008-04-02,25.2,17.0,20.6,76,2.1,13.6,62
2008-04-03,25.4,16.8,20.5,76,2.4,13.1,65
