date,temp_max,temp_min,temp_mean,humidity_mean,rainfall_mm,wind_speed_max,cloud_cover_percent
2008-01-01,26.6,18.8,22.2,75,0.8,14.1,49
2008-01-02,27.6,17.9,22.7,69,0.5,14.0,23
2008-01-03,28.8,18.3,23.4,65,0.0,12.4,14
2008-01-04,29.1,18.2,23.9,66,0.1,12.6,20
2008-01-05,28.5,18.3,23.3,73,1.6,14.3,52
2008-01-06,28.7,18.3,23.5,69,0.0,12.6,29
2008-01-07,29.9,18.6,23.7,63,0.0,14.0,63
2008-01-08,29.4,19.0,23.7,62,0.0,13.4,45
2008-01-09,27.2,19.3,23.0,71,0.7,13.4,44
2008-01-10,26.1,19.2,22.1,77,2.0,12.2,81
2008-01-11,27.8,18.7,22.8,72,0.9,14.9,54
2008-01-12,27.2,18.8,22.8,69,1.2,14.3,56
2008-01-13,28.9,18.8,23.2,64,0.6,14.6,47
2008-01-14,28.5,19.2,23.6,64,0.3,13.1,66
2008-01-15,28.0,19.8,23.5,69,0.6,13.4,53
2008-01-16,23.8,18.8,20.7,88,8.9,7.9,80
2008-01-17,26.4,18.7,22.0,79,2.2,15.6,60
2008-01-18,25.6,18.1,21.4,80,7.4,14.8,72
2008-01-19,25.0,17.9,21.2,81,1.8,11.8,88
2008-01-20,24.1,18.3,20.5,88,7.8,6.6,97
2008-01-21,25.6,19.1,21.7,82,2.1,12.5,71
2008-01-22,27.0,18.7,22.2,78,3.1,12.5,78
2008-01-23,29.8,18.0,23.5,68,0.0,15.5,47
2008-01-24,28.2,17.7,23.1,71,0.0,13.9,64
2008-01-25,28.6,17.5,23.0,70,0.0,16.6,70
2008-01-26,28.9,17.8,23.4,68,0.0,15.0,73
2008-01-27,28.2,18.5,23.4,72,0.0,10.3,98
2008-01-28,29.3,19.3,24.2,67,0.0,16.3,66
2008-01-29,28.0,18.3,22.9,69,0.9,14.5,79
2008-01-30,29.6,16.4,23.5,63,0.0,13.8,50
2008-01-31,30.4,17.5,24.2,60,0.0,16.6,64
2008-02-01,28.6,18.2,23.5,66,0.0,13.0,95
2008-02-02,29.4,18.2,23.5,63,0.3,16.2,85
2008-02-03,27.7,18.3,22.6,66,0.4,15.0,72
2008-02-04,29.3,17.3,23.2,63,0.0,13.3,54
2008-02-05,29.7,18.1,23.8,63,0.0,14.0,76
2008-02-06,30.4,17.9,24.2,61,0.0,14.3,65
2008-02-07,28.2,19.9,23.1,72,2.3,15.9,95
2008-02-08,27.6,19.1,23.2,71,0.1,13.5,78
2008-02-09,29.8,19.1,24.3,60,0.0,13.0,24
2008-02-10,28.6,18.3,23.4,64,0.4,13.6,93
2008-02-11,28.6,18.8,23.5,58,0.0,13.3,90
2008-02-12,29.4,18.0,23.8,61,0.0,12.9,79
2008-02-13,29.3,19.3,23.8,66,0.7,9.8,66
2008-02-14,30.8,19.2,24.2,67,0.9,10.6,58
2008-02-15,28.5,20.3,24.2,64,0.1,14.1,68
2008-02-16,29.7,18.6,24.3,60,0.0,14.0,65
2008-02-17,28.5,19.5,23.6,66,0.5,13.5,93
2008-02-18,28.0,19.3,23.2,68,1.3,16.1,95
2008-02-19,29.5,18.7,24.0,64,0.0,15.3,77
2008-02-20,29.4,19.8,24.1,65,0.5,13.2,83
2008-02-21,28.3,19.7,24.0,67,0.6,17.5,67
2008-02-22,28.5,19.1,23.7,61,0.3,15.4,66
2008-02-23,30.1,17.2,23.8,56,0.0,15.3,16
2008-02-24,28.4,19.0,23.4,62,0.7,12.8,41
2008-02-25,28.9,18.9,23.6,65,0.6,12.4,38
2008-02-26,29.5,19.4,23.7,68,1.6,15.9,58
2008-02-27,30.6,18.8,24.4,63,0.5,12.4,28
2008-02-28,30.8,18.1,24.6,57,0.0,12.7,10
2008-02-29,31.2,18.4,24.9,54,0.0,12.8,12
2008-03-01,29.9,18.2,24.4,58,0.2,13.8,14
2008-03-02,29.7,19.3,24.4,61,0.0,16.3,35
2008-03-03,29.8,20.1,24.5,63,0.5,14.4,42
2008-03-04,30.2,20.3,24.8,66,1.4,15.8,47
2008-03-05,30.6,19.4,24.5,66,4.5,14.8,47
2008-03-06,28.9,19.5,23.6,73,5.7,15.6,65
2008-03-07,27.2,19.3,22.9,75,3.4,14.5,94
2008-03-08,27.2,19.3,22.8,72,2.0,15.0,72
2008-03-09,28.0,19.1,23.2,71,2.4,15.9,67
2008-03-10,28.8,19.0,23.5,67,1.7,14.8,55
2008-03-11,28.4,19.0,23.6,65,0.2,12.4,36
2008-03-12,30.4,19.8,24.7,64,0.1,14.8,40
2008-03-13,29.9,20.6,24.5,68,1.0,15.5,76
2008-03-14,29.8,20.2,24.4,69,3.3,14.8,73
2008-03-15,30.0,20.1,24.6,68,3.4,13.2,69
2008-03-16,29.2,20.8,24.4,69,0.8,13.4,42
2008-03-17,29.6,20.2,24.5,67,2.5,14.9,48
2008-03-18,31.2,20.2,25.1,63,0.3,14.5,31
2008-03-19,31.3,21.0,25.7,62,0.4,15.7,30
2008-03-20,31.4,20.6,25.4,66,1.2,13.7,74
2008-03-21,29.3,20.8,24.4,70,6.2,11.7,77
2008-03-22,30.2,20.5,24.1,74,5.2,14.6,86
2008-03-23,28.8,19.9,23.5,75,5.7,10.2,90
2008-03-24,29.4,19.5,23.3,76,9.9,7.6,97
2008-03-25,29.3,18.8,23.1,79,5.9,11.0,79
2008-03-26,27.9,20.7,23.2,78,6.4,13.8,85
2008-03-27,27.0,19.5,22.4,79,8.2,11.9,92
2008-03-28,26.3,19.4,21.9,84,22.2,11.9,95
2008-03-29,28.0,19.5,22.4,80,11.3,15.7,86
2008-03-30,27.6,20.2,22.9,77,3.2,19.4,66
2008-03-31,27.8,18.6,23.0,73,0.8,13.1,75
2008-04-01,26.8,19.6,23.0,73,1.8,13.0,47
2008-04-02,27.5,19.6,22.9,73,2.5,12.7,47
2008-04-03,27.1,18.4,22.4,75,1.5,12.3,52
2008-04-04,27.5,19.2,23.2,69,0.2,13.1,66
2008-04-05,26.7,19.2,22.8,71,0.9,13.4,48
2008-04-06,27.7,19.9,23.4,67,0.5,12.0,76
2008-04-07,27.8,19.1,23.3,68,0.3,11.6,67
2008-04-08,27.9,19.3,23.3,69,0.0,12.3,41
2008-04-09,27.4,20.0,22.7,75,6.1,12.7,77
2008-04-10,26.9,19.2,21.9,79,4.6,16.6,88
2008-04-11,26.3,18.6,22.2,77,2.5,12.6,78
2008-04-12,25.3,18.4,21.6,79,1.9,11.9,62
2008-04-13,26.4,18.8,22.4,75,0.2,10.8,64
2008-04-14,27.2,18.4,22.8,71,0.9,11.5,39
2008-04-15,27.7,18.9,23.3,69,1.1,11.9,33
2008-04-16,28.8,19.1,23.6,68,2.0,12.1,72
2008-04-17,28.5,19.1,23.6,68,0.1,11.1,32
2008-04-18,28.1,18.8,23.3,70,0.8,12.7,64
2008-04-19,28.4,19.0,23.5,69,0.1,14.1,33
2008-04-20,27.5,19.4,22.7,75,4.1,14.0,97
2008-04-21,27.3,19.1,23.0,74,2.4,13.3,94
2008-04-22,28.1,18.5,23.3,70,1.5,13.0,63
2008-04-23,27.3,19.5,23.1,70,4.6,13.2,48
2008-04-24,26.6,19.5,22.7,71,2.0,15.9,84
2008-04-25,26.1,18.7,22.5,69,0.4,13.2,72
